Falsterbo;5;55.3836;12.8203;25.1
Falsterbo A;5;55.3838;12.819;24.3
Malmö A;20;55.5714;13.0734;25.5
Beddingestrand;5;55.3606;13.4343;14.2
Trelleborg;5;55.381;13.1279;19
Ystad;20;55.4325;13.8067;20.5
Skurup D;35;55.4405;13.4796;23.1
Tomelilla;67;55.5533;13.945;17.2
Malmö;20;55.5726;13.0776;21.8
Björnstorp;45;55.6254;13.4122;25
Lövestad;80;55.6008;13.892;17
Vomb;25;55.6616;13.5323;23.3
Lund;25;55.693;13.229;21.7
Sjöbo D;40;55.6405;13.683;22.1
Hörby A;114;55.8633;13.6689;18.9
Stehag;85;55.8814;13.4424;20.5
Knopparp D;165;55.9299;13.8491;12
Skillinge A;4;55.4889;14.3172;16.2
Bollerup;55;55.4907;14.0476;16.4
Stiby;70;55.5629;14.191;18.2
Brösarp D;50;55.7206;14.1049;15.7
Degeberga D;17;55.79651;14.16682;14.8
Helsingborg 2;30;56.0261;12.7432;19.2
Helsingborg A;43;56.0304;12.7653;16.9
Hallands Väderö A;10;56.4495;12.547;8.9
Hov;40;56.4498;12.7033;11.7
Gillastig;152;56.0147;13.2334;11.3
Klippan;55;56.1391;13.2516;12
Hästveda Mo;103;56.2799;13.9432;9.3
Örkelljunga;75;56.2829;13.3002;7.7
Bjärnum D;76;56.2907;13.7464;6.9
Osby;90;56.3742;13.9376;3.8
Kristianstad;10;56.0133;14.2896;9.1
Bromölla;5;56.0642;14.4783;9
Norra Ströö;15;56.1049;14.0173;3.5
Olastorp;135;56.4188;14.3546;2.1
